entidad,fecha,pais,area,sector,tipo,rating_cp,rating_lp,perspectiva,estado
Confibono LXXIV,2024-10-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF B,,A-sf(arg),Perspectiva Estable,Confirma
Confibono LXXIV,2024-10-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF C,,BBsf(arg),Perspectiva Estable,Confirma
Confibono LXXIX,2025-12-15,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF A,,AAAsf(arg),Perspectiva Estable,Confirma
Confibono LXXV,2024-10-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF A,,AAAsf(arg),Perspectiva Estable,Confirma
Confibono LXXV,2024-12-12,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF B,,A+sf(arg),Perspectiva Estable,Confirma
Confibono LXXVI,2024-12-12,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF A,,AAAsf(arg),Perspectiva Estable,Confirma
Confibono LXXVI,2024-12-12,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF B,,AAAsf(arg),Perspectiva Estable,Confirma
Confibono LXXVII,2025-03-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFA,,AAAsf(arg),Perspectiva Estable,Confirma
Confibono LXXVIII,2025-06-24,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF A,,AAAsf(arg),Perspectiva Estable,Confirma
Confibono LXXX,2026-04-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF A,,AAAsf(arg),Perspectiva Estable,Confirma
Confibono LXXX,2026-04-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF B,,AAAsf(arg),Perspectiva Estable,Confirma
Confibono LXXXI,2026-04-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF A,,AAAsf(arg),Perspectiva Estable,Confirma
Confibono LXXXI,2026-04-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFB,,AAAsf(arg),Perspectiva Estable,Confirma
Confibono LXXXII,2026-04-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF A,,AAAsf(arg),Perspectiva Estable,Confirma
Confibono LXXXII,2026-04-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF B,,AAsf(arg),Perspectiva Estable,Confirma
Confibono LXXXII,2026-04-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF C,,CCCsf(arg),N.C,Confirma
Confibono LXXXIII,2026-04-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF A,,AAAsf(arg),Perspectiva Estable,Confirma
Confibono LXXXIII,2026-04-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF B,,AAsf(arg),Perspectiva Estable,Confirma
Confibono LXXXIII,2026-04-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF C,,BBBsf(arg),Perspectiva Estable,Confirma
Confibono LXXXIV,2026-04-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFA,,AAAsf(arg),Perspectiva Estable,Confirma
Confibono LXXXIV,2026-04-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFB,,AAsf(arg),Perspectiva Estable,Confirma
Confibono LXXXV,2026-04-16,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFA,,AAAsf(arg),Perspectiva Estable,Confirma
Confibono LXXXV,2026-04-16,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFB,,AAsf(arg),Perspectiva Estable,Confirma
Confibono LXXXV,2026-04-16,Argentina,Finanzas Estructuradas,Prestamos Personales,CP,,CCCsf(arg),N.C,Confirma
Confibono LXXXVI,2026-05-15,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFA,,AAAsf(arg),Perspectiva Estable,Preliminar
Confibono LXXXVI,2026-05-15,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFB,,AAsf(arg),Perspectiva Estable,Preliminar
Confibono LXXXVI,2026-05-15,Argentina,Finanzas Estructuradas,Prestamos Personales,CP,,CCsf(arg),N.C,Preliminar
Consubond 183,2024-02-21,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF A,,AAAsf(arg),Perspectiva Estable,Confirma
